n,time[ms]
1,0
51,0.2
101,0.7
151,1.3
201,2
251,3
301,3.9
351,4.9
401,6.3
451,7.8
501,9.3
551,11.4
601,13.3
651,15.5
701,17.8
751,20.3
801,22.8
851,25.5
901,28.7
951,32.5
1001,34.7
1051,38.2
1101,41.7
1151,47.1
1201,51.6
1251,54.1
1301,57.9
1351,61.2
1401,65.4
1451,70
1501,73.5
1551,79.4
1601,81.9
1651,85.6
1701,90.1
1751,98.8
1801,100.1
1851,105.1
1901,110.6
1951,116.3
2001,122.6
2051,129.8
2101,138.5
2151,143.1
2201,145.6
2251,151.5
2301,157.2
2351,163.3
2401,171.8
2451,178.9
2501,185.2
2551,195.6
2601,207.2
2651,207.3
2701,212.8
2751,221
2801,229
2851,235.6
2901,253.7
2951,257.2
3001,259.7
3051,268.1
3101,276.5
3151,285.9
3201,301.2
3251,315
3301,311.3
3351,320.8
3401,329.9
3451,342.1
3501,356.6
3551,358.2
3601,367
3651,382.7
3701,400.4
3751,401
3801,409.5
3851,421.3
3901,442
3951,444.6
4001,452
4051,464.3
4101,487
4151,484.2
4201,495.4
4251,517.4
4301,519.3
4351,528.6
4401,553
4451,554
4501,564.8
4551,590.4
4601,590.6
4651,600.6
4701,628.4
4751,628.5
4801,644.2
4851,657.6
4901,665.9
4951,695.5
