n,time[ms]
1,0
51,0.5
101,2.3
151,3.8
201,6.3
251,8.6
301,11.5
351,14.5
401,17.6
451,21.5
501,25.5
551,30.1
601,35
651,39.9
701,40.1
751,45.4
801,50.5
851,56.7
901,62.5
951,68.2
1001,74.8
1051,82.5
1101,89
1151,96.6
1201,105
1251,112.5
1301,116.4
1351,115.9
1401,123.8
1451,132
1501,139.9
1551,148.8
1601,151.1
1651,152.9
1701,161.9
1751,171.9
1801,181.8
1851,177
1901,183.1
1951,191.9
2001,193.1
2051,197.3
2101,208.4
2151,216.4
2201,226.6
2251,232.3
2301,227.5
2351,238
2401,245.6
2451,256.8
2501,267.1
2551,268.2
2601,277.5
2651,283.9
2701,296.4
2751,305.3
2801,322.7
2851,322.6
2901,330.8
2951,341.2
3001,356.5
3051,382
3101,378.4
3151,387.7
3201,406.2
3251,433
3301,430.1
3351,437.7
3401,456.8
3451,468.5
3501,476.5
3551,487.8
3601,517.7
3651,514.8
3701,527.9
3751,553.2
3801,556.7
3851,567.9
3901,600.9
3951,598.9
4001,618.2
4051,646.2
4101,643.1
4151,669.4
4201,679.5
4251,689.4
4301,716.9
4351,720.9
4401,752.1
4451,754.5
4501,784.5
4551,785.5
4601,816.4
4651,819.9
4701,848.6
4751,854.5
4801,882.9
4851,890.5
4901,926
4951,924.3
