n,time[ms]
1,0
51,1
101,6
151,16
201,31.2
251,52
301,75.4
351,105.4
401,143.1
451,179.8
501,218.5
551,266.6
601,320.3
651,373.1
701,446
751,500.5
801,571.2
851,656.3
901,728.5
951,824.5
1001,905.3
1051,1014.1
1101,1097.2
1151,1204.3
1201,1312.9
1251,1426.1
1301,1548.7
1351,1692.2
1401,1820.4
1451,1931.3
1501,2065
1551,2210
1601,2353.4
1651,2511.1
1701,2662
1751,2820.5
1801,2988.3
1851,3153.1
1901,3436.3
1951,3511.2
2001,3691.1
2051,3880.4
2101,4074.2
2151,4271.7
2201,4465.4
2251,4670.4
2301,4896.9
2351,5115
2401,5333
2451,5557
2501,5783.8
2551,6018.1
2601,6253.8
2651,6645.2
2701,6810
2751,7033.1
2801,7270.1
2851,7536.3
2901,7826.8
2951,8086.1
3001,8348.1
3051,8644.8
3101,8918
3151,9207.7
3201,9528.2
3251,9804.2
3301,10115.6
3351,10404.9
3401,10727.1
3451,11052.3
3501,11363.5
3551,11698.3
3601,12035.8
3651,12405.8
3701,12735.3
3751,13067.5
3801,13419.4
3851,13781.4
3901,14124
3951,14494.2
4001,14870.2
4051,15273.8
4101,15621.7
4151,16042.5
4201,16391.4
4251,16778.5
4301,17192.4
4351,17726.5
4401,18007.9
4451,18414.7
4501,18835.1
4551,19249.9
4601,19706.3
4651,20110.9
4701,20555.3
4751,20990
4801,21427.6
4851,21903.8
4901,22340.4
4951,22810.8
