n,time[ms]
1,0
51,0.1
101,0.1
151,0.3
201,0.4
251,0.5
301,0.6
351,0.8
401,0.9
451,1.1
501,1.2
551,1.3
601,1.5
651,1.6
701,1.7
751,2.1
801,2.1
851,2.3
901,3.2
951,3.3
1001,3.6
1051,3.7
1101,3.9
1151,4
1201,4.3
1251,4.3
1301,4.3
1351,4.7
1401,4.8
1451,5.1
1501,5.2
1551,5.3
1601,5.7
1651,5.7
1701,6
1751,6
1801,6.3
1851,6.6
1901,7.4
1951,7.6
2001,7.8
2051,8
2101,7.8
2151,8.2
2201,8.4
2251,8.8
2301,8.8
2351,8.9
2401,9
2451,9.2
2501,9.4
2551,9.5
2601,9.8
2651,9.9
2701,10.2
2751,10.6
2801,11
2851,10.9
2901,11.7
2951,11.8
3001,11.9
3051,12.2
3101,12.5
3151,12.7
3201,13
3251,12.8
3301,13.3
3351,13.3
3401,13.8
3451,13.9
3501,14.1
3551,14.1
3601,14
3651,14.7
3701,15.1
3751,15
3801,15.5
3851,16
3901,16.6
3951,16.6
4001,16.4
4051,17
4101,17.2
4151,17
4201,17.6
4251,17.7
4301,17.8
4351,18
4401,18.2
4451,18.2
4501,18.3
4551,18.7
4601,19
4651,19.3
4701,19.2
4751,19.7
4801,19.6
4851,20.1
4901,20.9
4951,21.2
